DOI	Sample_name	Noble_or_not	Multi_or_not	Co_or_not	Fe_or_not	Ni_or_not	SSA (m2/g)	Electrolyte	pH	Tafel slope (mV/dec)	Current_density (mA/cm2)	Overpotential (mV)
10.1016/j.jssc.2023.124213	CoNiO@NCNT	0	1	1	0	1	284.86	1.0 M KOH	14	63.6	10	315 
10.1016/j.jpowsour.2023.233174	Ir/Ta2O5	1	1	0	0	0	82	0.1 M HClO4	1	44.1	20	310 
10.1016/j.jpowsour.2023.233174	Ir/Ta2O5	1	1	0	0	0	82	0.1 M HClO4	1	44.1	10	288 
10.1016/j.jpowsour.2021.230514	Co3O4/CeO2HS	0	1	1	0	0	23.665	1.0 M KOH	14	36	100	332 
10.1016/j.jpowsour.2021.230514	Co3O4/CeO2HS	0	1	1	0	0	23.665	1.0 M KOH	14	36	50	304 
10.1016/j.jpowsour.2021.230514	Co3O4/CeO2HS	0	1	1	0	0	23.665	1.0 M KOH	14	36	20	276 
10.1016/j.jpowsour.2021.230514	Co3O4/CeO2HS	0	1	1	0	0	23.665	1.0 M KOH	14	36	10	258 
10.1016/j.jelechem.2022.116480	La0.17Co2.83O4@NC	0	1	1	0	0	109.24	1.0 M KOH	14	76.9	50	428 
10.1016/j.jelechem.2022.116480	La0.17Co2.83O4@NC	0	1	1	0	0	109.24	1.0 M KOH	14	76.9	20	388 
10.1016/j.jelechem.2022.116480	La0.17Co2.83O4@NC	0	1	1	0	0	109.24	1.0 M KOH	14	76.9	10	363 
10.1016/j.jelechem.2019.04.010	SBA-15-120-CoFe2O4	0	1	1	1	0	163.3	1.0 M KOH	14	57.1	50	384 
10.1016/j.jelechem.2019.04.010	SBA-15-120-CoFe2O4	0	1	1	1	0	163.3	1.0 M KOH	14	57.1	20	359 
10.1016/j.jelechem.2019.04.010	SBA-15-120-CoFe2O4	0	1	1	1	0	163.3	1.0 M KOH	14	57.1	10	342 
10.1016/j.jechem.2018.09.013	CoxOy-8	0	0	1	0	0	96.057	0.1 M KOH	13	68	20	300 
10.1016/j.jechem.2018.09.013	CoxOy-8	0	0	1	0	0	96.057	0.1 M KOH	13	68	10	280 
10.1016/j.jechem.2018.06.014	Fe-Co3O4@C	0	1	1	1	0	34	1.0 M KOH	14	70	100	347 
10.1016/j.jechem.2018.06.014	Fe-Co3O4@C	0	1	1	1	0	34	1.0 M KOH	14	70	50	301 
10.1016/j.jechem.2018.06.014	Fe-Co3O4@C	0	1	1	1	0	34	1.0 M KOH	14	70	20	260 
10.1016/j.jcis.2023.06.084	 CuMn0.5Co2O4/CC	0	1	1	0	0	41.32	1.0 M KOH	14	64.1	100	305 
10.1016/j.jcis.2023.06.084	 CuMn0.5Co2O4/CC	0	1	1	0	0	41.32	1.0 M KOH	14	64.1	50	282 
10.1016/j.jcis.2023.06.084	 CuMn0.5Co2O4/CC	0	1	1	0	0	41.32	1.0 M KOH	14	64.1	20	248 
10.1016/j.jcis.2022.05.039	Ni2P/Mn2O3 	0	1	0	0	1	39.6	1.0 M KOH	14	119.8	100	430 
10.1016/j.jcis.2022.05.039	Ni2P/Mn2O3 	0	1	0	0	1	39.6	1.0 M KOH	14	119.8	50	371 
10.1016/j.jcis.2022.05.039	Ni2P/Mn2O3 	0	1	0	0	1	39.6	1.0 M KOH	14	119.8	20	331 
10.1016/j.jcis.2022.05.039	Ni2P/Mn2O3 	0	1	0	0	1	39.6	1.0 M KOH	14	119.8	10	280 
10.1016/j.jcis.2022.04.129	NiFeMoOx/NFF	0	1	0	1	1	19.41	1.0 M KOH	14	28.1	100	282 
10.1016/j.jcis.2022.04.129	NiFeMoOx/NFF	0	1	0	1	1	19.41	1.0 M KOH	14	28.1	10	235 
10.1016/j.jcis.2022.03.104	MOF-V2O5NRs-500	0	0	0	0	0	175	1.0 M KOH	14	50.3	100	324 
10.1016/j.jcis.2022.03.104	MOF-V2O5NRs-500	0	0	0	0	0	175	1.0 M KOH	14	50.3	50	300 
10.1016/j.jcis.2022.03.104	MOF-V2O5NRs-500	0	0	0	0	0	175	1.0 M KOH	14	50.3	20	216 
10.1016/j.jcis.2022.02.078	NiOx/C/Co2SiO4	0	1	1	0	1	132	1.0 M KOH	14	40	100	572 
10.1016/j.jcis.2022.02.078	NiOx/C/Co2SiO4	0	1	1	0	1	132	1.0 M KOH	14	40	50	470 
10.1016/j.jcis.2022.02.078	NiOx/C/Co2SiO4	0	1	1	0	1	132	1.0 M KOH	14	40	20	396 
10.1016/j.jcis.2022.02.078	NiOx/C/Co2SiO4	0	1	1	0	1	132	1.0 M KOH	14	40	10	355 
10.1016/j.jcis.2020.07.117	MCF/NPCCNT-40	0	1	1	1	0	74	1.0 M KOH	14	45.9	100	410 
10.1016/j.jcis.2020.07.117	MCF/NPCCNT-40	0	1	1	1	0	74	1.0 M KOH	14	45.9	50	353 
10.1016/j.jcis.2020.07.117	MCF/NPCCNT-40	0	1	1	1	0	74	1.0 M KOH	14	45.9	20	310 
10.1016/j.jcis.2020.07.117	MCF/NPCCNT-40	0	1	1	1	0	74	1.0 M KOH	14	45.9	10	292 
10.1016/j.jallcom.2023.171910	WO3/Fe2O3-NiO/NF	0	1	0	1	1	68.6	1.0 M KOH	14	39.5	100	211 
10.1016/j.jallcom.2023.171758	MS0.3	0	1	1	1	1	170.6	1.0 M KOH	14	32.3	100	285 
10.1016/j.jallcom.2023.171758	MS0.3	0	1	1	1	1	170.6	1.0 M KOH	14	32.3	50	269 
10.1016/j.jallcom.2023.171758	MS0.3	0	1	1	1	1	170.6	1.0 M KOH	14	32.3	10	243 
10.1016/j.jallcom.2023.171359	Te-CeO2/NF	0	1	0	0	1	66.6	1.0 M KOH	14	43	10	227 
